,title,book_id,publication_year,ratings_count,language_code,average_rating,economics,politics,sociology,society,political-science,government,history,philosophy,theory
157,101 Amazing Facts,22826347,,515,,3.54,0,0,0,0,0,0,1,0,0
175,The Unsubstantial Air: American Fliers in the First World War,20613515,2014.0,137,,3.88,0,0,0,0,0,0,1,0,0
176,On Immunity: An Inoculation,20613511,2014.0,6050,eng,3.87,0,0,0,0,0,0,1,1,0
180,"A Knock at Midnight: Inspiration from the Great Sermons of Reverend Martin Luther King, Jr.",246200,2005.0,171,eng,4.56,0,1,0,0,0,0,1,0,0
209,Lost to the West: The Forgotten Byzantine Empire That Rescued Western Civilization,8128563,2009.0,316,en-US,4.07,0,0,0,0,0,0,1,0,0
214,Shoe Dog: A Memoir by the Creator of NIKE,27220736,2016.0,27468,eng,4.44,0,0,0,0,0,0,1,0,0
220,Math on Trial: How Numbers Get Used and Abused in the Courtroom,15843133,2013.0,160,,3.51,0,0,0,0,0,0,1,0,0
225,Magna Carta: The Birth of Liberty,24611571,2015.0,559,eng,3.9,0,1,0,0,0,0,1,0,0
230,Independence Lost: Lives on the Edge of the American Revolution,23465981,2015.0,169,,3.74,0,0,0,0,0,0,1,0,0
246,The End of Science: Facing the Limits of Knowledge in the Twilight of the Scientific Age,250814,1996.0,315,en-US,3.54,0,0,0,0,0,0,0,1,0
247,"Fire in the Mind: Science, Faith, and the Search for Order",250815,1996.0,138,,3.98,0,0,0,0,0,0,0,1,0
248,The Happiness Hypothesis: Putting Ancient Wisdom to the Test of Modern Science,250812,,233,en-US,4.12,0,0,0,0,0,0,1,1,0
252,"Trial by Fire: The Hundred Years War, Volume 2",300041,2001.0,111,eng,4.51,0,0,0,0,0,0,1,0,0
264,Yellow Dirt: An American Story of a Poisoned Land and a People Betrayed,8528727,,255,eng,4.04,0,0,0,0,0,0,1,0,0
324,Flourish: A Visionary New Understanding of Happiness and Well-being,12082097,2012.0,155,eng,3.82,0,0,1,0,0,0,0,1,0
338,Men Explain Things to Me,18528190,2014.0,19660,eng,3.92,0,1,0,0,0,0,1,0,0
369,30-Second Economics,8387565,,148,,3.68,1,1,0,0,0,0,0,0,0
376,"Transparent: Love, Family, and Living the T with Transgender Teenagers",396826,2007.0,447,,3.98,0,0,0,0,0,0,0,0,1
404,Read This Before Our Next Meeting,11994353,,1667,,3.68,1,0,0,0,0,0,0,0,0
409,A Brief History of the Future: The Origins of the Internet,804069,2006.0,124,eng,3.77,0,0,0,0,0,0,1,0,0
410,"Dark Alliance: The CIA, the Contras, and the Cocaine Explosion",455652,1999.0,796,,4.25,0,1,0,0,0,0,1,0,0
430,"The Golden Dawn: The Original Account of the Teachings, Rites, and Ceremonies of the Hermetic Order",111009,2002.0,1630,eng,4.01,0,0,0,0,0,0,1,1,0
432,The Librarian Who Measured the Earth,111001,1994.0,906,en-US,4.18,0,0,0,0,0,0,1,0,0
437,Shooting History,395952,2005.0,181,eng,4.0,0,1,0,0,0,0,1,0,0
452,Alan Turing: The Enigma,150731,2000.0,3607,,3.78,0,0,0,0,0,0,1,1,0
458,Non Violent Communication,560861,2003.0,361,,4.31,0,0,1,0,0,0,0,1,0
479,The Writer's Notebook: Craft Essays from Tin House,1909749,2009.0,242,en-US,4.05,0,0,0,0,0,0,0,0,1
485,Counterclockwise: Mindful Health and the Power of Possibility,6398460,,326,,3.73,0,0,1,0,0,0,0,1,0
508,Totality and Infinity:  An Essay on Exteriority,751683,1969.0,1209,en-GB,4.18,0,0,0,0,0,0,0,1,1
512,"The Reconstruction of Nations: Poland, Ukraine, Lithuania, Belarus, 1569-1999",432990,2004.0,232,eng,4.28,0,0,0,0,0,0,1,0,0
564,The Book of Human Emotions: An Encyclopaedia of Feeling from Anger to Wanderlust,16688319,2015.0,103,eng,4.01,0,0,0,0,0,0,1,0,0
568,Forgotten Voices of The Holocaust: A new history in the words of the men and women who survived,678365,2006.0,677,,4.35,0,0,0,0,0,0,1,0,0
571,"Postmodernism, or, The Cultural Logic of Late Capitalism",204011,1992.0,4876,eng,3.96,0,0,0,0,0,0,0,1,1
572,A Primer on Postmodernism,204010,1996.0,460,,3.73,0,0,0,0,0,0,1,1,0
613,How to Read Literature,16073298,2013.0,504,eng,3.64,0,0,0,0,0,0,0,0,1
614,Sextrology: The Astrology of Sex and the Sexes,249111,2004.0,1115,en-US,4.21,0,0,0,0,0,0,0,1,0
622,"Trust Me, I'm Lying: Confessions of a Media Manipulator",15985608,2012.0,567,en-GB,3.89,0,1,1,0,0,0,0,0,0
628,"Selfish, Shallow, and Self-Absorbed: Sixteen Writers on The Decision Not To Have Kids",21853680,2015.0,3586,eng,3.73,0,0,1,0,0,0,0,1,0
643,Diana,506684,,793,,3.86,0,0,0,0,0,0,1,0,0
646,Parallels and Paradoxes: Explorations in Music and Society,506688,2004.0,176,,4.02,0,1,0,0,0,0,0,1,0
659,The Chastening: Inside The Crisis That Rocked The Global Financial System And Humbled The Imf,95270,2003.0,107,,3.92,1,0,0,0,0,0,1,0,0
688,The Wild Vine: A Forgotten Grape and the Untold Story of American Wine,7541936,,142,,3.83,0,0,0,0,0,0,1,0,0
692,Apology/Crito/Phaedo,8340959,,347,eng,4.15,0,0,0,0,0,0,1,1,0
707,Hen Frigates,1062547,1998.0,106,,3.78,0,0,0,0,0,0,1,0,0
711,Ada Byron Lovelace and the Thinking Machine,24694140,2015.0,472,eng,4.19,0,0,0,0,0,0,1,0,0
716,The Death Class: A True Story About Life,17571292,2014.0,1014,en-US,3.7,0,0,0,1,0,0,0,1,0
741,Jacks and Jokers,20644332,2014.0,119,eng,3.83,0,1,0,0,0,0,1,0,0
742,The Sexual Contract,912993,1988.0,175,eng,3.9,0,0,0,0,0,0,0,1,1
748,The Great Mutiny: India 1857,144203,1980.0,231,,4.03,0,0,0,0,0,0,1,0,0
772,"Trading in the Zone: Master the Market with Confidence, Discipline, and a Winning Attitude",253516,2001.0,1215,,4.12,1,0,0,0,0,0,0,0,0
777,An Epic Swindle: 44 Months with a Pair of Cowboys,11151395,2011.0,279,,3.88,0,0,0,0,0,0,1,0,0
793,Lost Girls: An Unsolved American Mystery,18505764,2014.0,181,,3.54,0,0,1,0,0,0,1,0,0
813,How to Speak How to Listen,169928,1997.0,391,,3.85,0,0,0,0,0,0,0,1,0
822,Why Evolution Is True,4005310,2009.0,15226,,4.16,0,0,0,0,0,0,1,1,0
843,"Without Their Permission: How the 21st Century Will Be Made, Not Managed",17333428,2013.0,1139,en-US,3.7,0,1,0,1,0,0,0,0,0
856,The Hunger Games and Philosophy: A Critique of Pure Treason,10776887,2012.0,1618,eng,4.38,0,0,0,0,0,0,0,1,0
865,An Unexpected Light: Travels in Afghanistan,161712,,1411,,4.06,0,1,0,0,0,0,1,0,0
900,The Art of Recklessness: Poetry as Assertive Force and Contradiction,7517330,2010.0,468,,4.15,0,0,0,0,0,0,0,0,1
930,In Search of Respect: Selling Crack in El Barrio,205582,2002.0,2136,,4.13,0,1,1,0,0,0,0,0,0
952,On the Heavens,551356,1970.0,103,eng,3.98,0,0,0,0,0,0,0,1,0
958,The Motivation Hacker,17788725,2013.0,436,eng,3.8,0,0,0,0,0,0,0,1,0
959,"How to Be Happy, Dammit: A Cynic's Guide to Spiritual Happiness",690400,,741,,4.07,0,0,0,0,0,0,0,1,0
970,Triumph,8193750,,3425,,3.78,0,0,1,0,0,0,1,0,0
971,Joseph Smith: Rough Stone Rolling,8193751,,171,,4.24,0,0,0,0,0,0,1,0,0
974,Uprooted: The Japanese American Experience During World War II,28250900,2016.0,150,eng,3.8,0,0,0,0,0,0,1,0,0
1005,Big Magic: Creative Living Beyond Fear,24487482,,2854,en-GB,3.89,0,0,0,0,0,0,0,1,0
1046,God Is Not Great: How Religion Poisons Everything,849849,2008.0,135,,3.96,0,1,0,0,0,0,1,0,0
1047,"How Music Got Free: The End of an Industry, the Turn of the Century, and the Patient Zero of Piracy",23398715,2015.0,2624,eng,4.21,1,0,0,0,0,0,1,0,0
1048,Humans Are Underrated: Proving Your Value in the Age of Brilliant Technology,23398714,2015.0,247,,3.76,1,0,0,0,0,0,0,0,0
1052,The Man Who Wasn't There: Investigations into the Strange New Science of the Self,23398718,2015.0,613,eng,3.66,0,0,0,0,0,0,0,1,0
1056,Practical Ethics,19036647,,128,eng,4.03,0,0,0,0,0,0,0,1,0
1057,The Beautiful Tree: A Personal Journey Into How the World's Poorest People Are Educating Themselves,6147197,2009.0,238,,4.09,1,1,0,0,0,0,0,0,0
1069,A Guide to the I Ching,34202,,147,,4.36,0,0,0,0,0,0,0,1,0
1071,"How America Lost Its Secrets: Edward Snowden, the Man and the Theft",30900207,2017.0,193,eng,3.84,0,1,0,0,0,0,1,0,0
1157,Born a Crime: Stories From a South African Childhood,29780253,2016.0,57318,eng,4.45,0,1,0,0,0,0,1,0,0
1160,Canada,29780254,2016.0,867,eng,3.92,0,0,0,0,0,0,1,0,0
1161,Born a Crime: Stories from a South African Childhood,29780258,2016.0,2008,eng,4.45,0,1,0,0,0,0,1,0,0
1229,"Women Heroes of World War II: 26 Stories of Espionage, Sabotage, Resistance, and Rescue",8483904,2011.0,777,en-GB,4.04,0,0,0,0,0,0,1,0,0
1239,The Paleo Manifesto: Ancient Wisdom for Lifelong Health,18841800,,222,,3.97,0,0,0,0,0,0,0,1,0
1252,The Body Project: An Intimate History of American Girls,150749,1998.0,3036,,3.82,0,0,1,0,0,0,1,0,0
1278,"Shooting Victoria: Madness, Mayhem, and the Rebirth of the British Monarchy",14458776,2012.0,391,eng,3.64,0,0,0,0,0,0,1,0,0
1316,The Enigma of Capital and the Crises of Capitalism,7502073,2010.0,857,en-GB,4.05,1,1,0,0,0,0,0,0,0
1321,Imperial Reckoning: The Untold Story of Britain's Gulag in Kenya,197327,,746,en-US,3.9,0,0,0,0,0,0,1,0,0
1401,We Meant Well: How I Helped Lose the Battle for the Hearts and Minds of the Iraqi People,11022137,2011.0,427,,3.87,0,1,0,0,0,0,1,0,0
1408,Michelangelo,317995,2003.0,482,,4.13,0,0,0,0,0,0,1,0,0
1423,Death Blossoms: Reflections from a Prisoner of Conscience,385942,2003.0,227,,3.99,0,1,0,0,0,0,0,0,0
1479,"The Will to Believe, Human Immortality and Other Essays in Popular Philosophy",28822,1956.0,380,eng,4.07,0,0,0,0,0,0,0,1,0
1480,Kingbird Highway: The Biggest Year in the Life of an Extreme Birder,543888,2006.0,1105,,4.2,0,0,0,0,0,0,1,0,0
1504,Nothing to Envy: Real Lives in North Korea,8551322,2010.0,942,en-GB,4.43,0,1,0,0,0,0,1,0,0
1508,The SS Brotherhood of the Bell: The Nazis' Incredible Secret Technology,48708,2015.0,111,,3.85,0,0,0,0,0,0,1,0,0
1516,Growing Up X,678824,2003.0,223,,3.89,0,0,0,0,0,0,1,0,0
1535,The Book of the Sword: With 293 Illustrations,860620,1987.0,136,,3.77,0,0,0,0,0,0,1,0,0
1549,Mrs. Kennedy and Me: An Intimate Memoir,13230263,2012.0,8894,eng,4.15,0,1,0,0,0,0,1,0,0
1553,1913,15766121,2012.0,511,eng,4.41,0,1,0,0,0,0,1,0,0
1559,"The Good, the Bad and the Multiplex: What's Wrong with Modern Movies?",10304270,2011.0,1242,,3.73,0,0,0,0,0,0,1,0,0
1582,Special Providence: American Foreign Policy and How It Changed the World,87505,2002.0,309,eng,4.05,0,1,0,0,0,0,1,0,0
1594,False Impressions: The Hunt for Big-Time Art Fakes,241434,1997.0,143,,3.78,0,0,0,0,0,0,1,0,0
1615,When Titans Clashed: How the Red Army Stopped Hitler,164875,1995.0,540,eng,4.08,0,0,0,0,0,0,1,0,0
1620,The Cambridge Companion to Fantasy Literature,13348749,2017.0,109,,3.89,0,0,0,0,0,0,0,0,1
1630,Johannes Brahms: A Biography,479146,1999.0,402,eng,4.38,0,0,0,0,0,0,1,0,0
1640,Think Biblically!: Recovering a Christian Worldview,734463,,120,,4.02,0,0,0,0,0,0,0,1,0
1646,Psychopath,13317008,2011.0,294,en-US,3.2,0,0,0,0,0,0,1,0,0
1648,Finding Oz: How L. Frank Baum Discovered the Great American Story,6107001,2009.0,279,,3.76,0,0,0,0,0,0,1,0,0
1664,Hollywood Hypocrites,13260238,,139,,3.72,0,1,0,1,0,0,0,0,0
1665,Personal Memoirs of U. S. Grant - Volume 1,18669115,,141,,4.15,0,0,0,0,0,0,1,0,0
1690,A Terrible Beauty: The People and Ideas That Shaped the Modern Mind: A History,348327,2001.0,132,eng,4.39,0,0,0,0,0,0,1,1,0
1697,On Wealth and Poverty: St. John Chrysostom,97344,1984.0,167,,4.51,1,0,0,0,0,0,0,1,0
1711,Unhinged: Exposing Liberals Gone Wild,675294,2005.0,161,,3.75,0,1,0,0,0,0,0,0,0
1717,The Life of A.W. Tozer: In Pursuit of God,3430223,2009.0,118,,4.14,0,0,0,0,0,0,1,0,0
1719,Why We Work,23280225,2015.0,561,,3.7,1,0,0,0,0,0,0,1,0
1724,Enquiries Concerning the Human Understanding / Concerning the Principles of Morals,80316,1975.0,502,en-US,4.06,0,0,0,0,0,0,0,1,0
1728,A Treatise of Human Nature,80311,2006.0,8451,eng,3.91,0,1,0,0,0,0,0,1,0
1730,Dialogues Concerning Natural Religion,80313,1998.0,3762,eng,3.94,0,0,0,0,0,0,0,1,0
1734,Getting the Love You Want: A Guide for Couples,8163650,2007.0,280,eng,4.06,0,0,0,0,0,0,0,1,0
1740,Out of the Past: Gay and Lesbian History from 1869 to the Present,434313,2008.0,248,eng,3.97,0,0,0,0,0,0,1,0,0
1742,Duel with the Devil: The True Story of How Alexander Hamilton and Aaron Burr Teamed Up to Take on America's First Sensational Murder Mystery,15998328,2013.0,1236,eng,3.67,0,0,0,0,0,0,1,0,0
1750,Being Wrong: Adventures in the Margin of Error,7811050,,3990,en-US,3.91,0,0,1,0,0,0,0,1,0
1751,Lost Japan: Last Glimpse of Beautiful Japan,24874448,2015.0,113,en-US,3.87,0,0,0,0,0,0,1,0,0
1759,Pleasure Bound: Victorian Sex Rebels and the New Eroticism,9303588,,123,,3.71,0,0,0,0,0,0,1,0,0
1760,Bonk: The Curious Coupling of Science and Sex,18881611,,757,,3.83,0,0,1,0,0,0,1,0,0
1762,"We Hold These Truths to Be Self-Evident: 12 Natural Laws of Freedom, Progress, and Success",22263789,2013.0,120,,4.59,0,1,0,0,0,0,1,0,0
1765,The Blue Zones: Lessons for Living Longer From the People Who've Lived the Longest,2213117,2008.0,3135,,3.93,0,0,0,0,0,0,1,0,0
1787,Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,17968690,2013.0,211,eng,4.34,0,0,0,0,0,0,1,0,0
1792,"Love All the People: Letters, Lyrics, Routines",248090,,2282,eng,4.07,0,1,0,0,0,0,0,1,0
1794,"Paul: A Man of Grace and Grit (Great Lives from God's Word, #6)",248095,2002.0,567,,4.23,0,0,0,0,0,0,1,0,0
1803,Murder in the Adirondacks: An American Tragedy Revisited,202697,1986.0,120,,3.84,0,0,0,0,0,0,1,0,0
1804,Genesis and Development of a Scientific Fact,202695,1981.0,121,,4.22,0,0,0,0,0,0,1,1,0
1806,The Division of Labor in Society,202693,1997.0,1313,,3.79,1,0,0,0,0,0,0,1,0
1816,Strangers: Homosexual Love in the Nineteenth Century,1026051,2005.0,204,,4.0,0,0,0,0,0,0,1,0,0
1818,How Music Works,13235689,2012.0,10580,,3.95,0,0,1,0,0,0,1,0,0
1831,Autobiography,18769929,2013.0,203,eng,3.67,0,0,0,0,0,0,1,0,0
1859,The Law,764976,,128,,4.39,0,1,0,0,0,0,0,1,0
1910,Defend the Realm: The Authorized History of MI5,6598946,,363,,3.83,0,0,0,0,0,0,1,0,0
1929,We Should All Be Feminists,22738563,2014.0,51354,eng,4.47,0,0,1,0,0,0,0,1,0
1954,The Rebel Sell: Why the Culture Can't Be Jammed,953034,2005.0,338,eng,3.84,0,1,0,0,0,0,0,1,0
1955,You Can Be Happy No Matter What: Five Principles for Keeping Life in Perspective,100287,1999.0,669,,4.1,0,0,0,0,0,0,0,1,0
1961,"Neuroscience and Philosophy: Brain, Mind, and Language",100280,2007.0,138,eng,3.67,0,0,0,0,0,0,0,1,0
1974,A Serial Killer in Nazi Berlin: The Chilling True Story of the S-Bahn Murderer,18051929,2014.0,265,eng,3.08,0,0,0,0,0,0,1,0,0
1987,The Persistence of the Color Line: Racial Politics and the Obama Presidency,10579567,2011.0,109,en-US,3.83,0,1,0,0,0,0,1,0,0
1994,Dharma Punx: A Memoir,128116,2004.0,3092,en-US,3.78,0,0,0,0,0,0,0,1,0
1995,Cobra II: The Inside Story of the Invasion and Occupation of Iraq,128112,2006.0,1413,,3.92,0,0,0,0,0,0,1,0,0
1999,Mrs. Lincoln and Mrs. Keckly: The Remarkable Story of the Friendship Between a First Lady and a Former Slave,868352,2003.0,320,eng,3.75,0,0,0,0,0,0,1,0,0
2045,The Snowball: Warren Buffett and the Business of Life,6064175,,157,,4.06,1,0,0,0,0,0,1,0,0
2057,Burn Rate: How I Survived the Gold Rush Years on the Internet,1077166,1998.0,114,,3.66,0,0,0,0,0,0,1,0,0
2109,Warren Buffett and the Interpretation of Financial Statements: The Search for the Company with a Durable Competitive Advantage,4427672,2008.0,841,en-US,3.88,1,0,0,0,0,0,0,0,0
2156,Rare Earth: Why Complex Life Is Uncommon in the Universe,88552,2003.0,609,,4.06,0,0,0,0,0,0,1,0,0
2160,A Reformed Approach to Science and Scripture,19126748,,344,eng,3.74,0,0,0,0,0,0,0,1,0
2180,"How to Win a Cosmic War: God, Globalization, and the End of the War on Terror",6007953,,883,,3.99,0,1,0,0,0,0,1,0,0
2186,To Touch a Wild Dolphin: A Journey of Discovery with the Sea's Most Intelligent Creatures,524290,2002.0,109,,4.13,0,0,0,0,0,0,1,0,0
2213,Archeofuturism,9436017,2010.0,120,eng,4.03,0,1,0,0,0,0,0,1,0
2214,Speaking Out: Lessons in Life and Politics,31386764,,104,,3.88,0,1,0,0,0,0,0,0,0
2225,The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography,17994,2000.0,13196,eng,4.29,0,0,0,0,0,0,1,0,0
2231,The Prize: Who's in Charge of America's Schools?,20025567,,189,eng,3.99,0,0,0,0,0,0,1,0,0
2232,Just Kids from the Bronx: Telling It the Way It Was: An Oral History,22320464,2015.0,240,,3.72,0,0,0,0,0,0,1,0,0
2249,Bad Feminist,23235226,,234,en-US,3.91,0,1,1,0,0,0,0,0,0
2253,The Gifts of the Jews: How a Tribe of Desert Nomads Changed the Way Everyone Thinks and Feels,835068,,467,,3.87,0,0,0,0,0,0,1,1,0
2254,Pope John XXIII: A Penguin Life,835069,,121,,3.87,0,0,0,0,0,0,1,0,0
2315,"North Korea Confidential: Private Markets, Fashion Trends, Prison Camps, Dissenters and Defectors",22892099,2015.0,436,,3.85,0,1,0,0,0,0,1,0,0
2332,"Counterfeit Gods: The Empty Promises of Money, Sex, and Power, and the Only Hope that Matters",6403690,2009.0,8950,eng,4.33,0,0,0,0,0,0,0,1,0
2334,Salt: A World History,8707502,,278,,3.73,0,0,0,0,0,0,1,0,0
2336,Moonbird: A Year on the Wind with the Great Survivor B95,12510885,2012.0,1702,eng,3.9,0,0,0,0,0,0,1,0,0
2355,Filthy Rich,28501552,2016.0,1175,,3.11,0,0,0,0,0,0,1,0,0
2387,The Art of Startup Fundraising,26407003,2016.0,237,,4.1,1,0,0,0,0,0,0,0,0
2397,The Last Princess: The Devoted Life of Queen Victoria's Youngest Daughter,1695842,2008.0,663,,3.81,0,0,0,0,0,0,1,0,0
2399,Some Wore Blue & Some Wore Gray,18492792,2013.0,243,en-US,3.52,0,0,0,0,0,0,1,0,0
2436,The Crisis of the Negro Intellectual: A Historical Analysis of the Failure of Black Leadership,666184,2005.0,137,,4.09,0,0,0,0,0,0,1,1,0
2441,Gang Leader for a Day: A Rogue Sociologist Takes to the Streets,1491906,,15646,,4.01,1,0,1,0,0,0,0,0,0
2446,Sword and Brush: The Spirit of the Martial Arts,500797,1995.0,123,eng,4.11,0,0,0,0,0,0,0,1,0
2451,The Dreyfus Affair: The Scandal That Tore France in Two,12159303,2012.0,161,,3.73,0,1,0,0,0,0,1,0,0
2453,A Difficult Woman: The Challenging Life and Times of Lillian Hellman,12159300,,111,,3.56,0,0,0,0,0,0,1,0,0
2454,The Outsourced Self: Intimate Life in Market Times,12159307,,182,,3.56,1,0,1,0,0,0,0,0,0
2455,SEAL Target Geronimo: The Inside Story of the Mission to Kill Osama bin Laden,12159306,2011.0,117,en-GB,3.76,0,0,0,0,0,0,1,0,0
2467,Flyover Nation: You Can't Run a Country You've Never Been To,27065434,2016.0,139,,3.9,0,1,0,0,0,0,1,0,0
2496,Work: How to Find Joy and Meaning in Each Hour of the Day,13590613,2012.0,340,,3.96,0,0,0,0,0,0,0,1,0
2497,A Handful of Quiet: Happiness in Four Pebbles,13590614,2012.0,256,,4.25,0,0,0,0,0,0,0,1,0
2499,One Minute to Midnight,9474773,2008.0,158,en-US,4.2,0,1,0,0,0,0,1,0,0
2527,The Terracotta Army,2233771,,153,en-GB,3.57,0,0,0,0,0,0,1,0,0
2544,There and Back Again: An Actor's Tale,837899,,2577,,3.9,0,0,0,0,0,0,1,0,0
2551,"An Unfinished Life: John F. Kennedy, 1917-1963",4424,2004.0,7046,en-US,4.06,0,1,0,0,0,0,1,0,0
2553,Implosion: Can America Recover from Its Economic and Spiritual Challenges in Time?,13399251,2012.0,562,,4.2,0,1,0,0,0,0,1,0,0
2569,Intelligent Thought: Science Versus the Intelligent Design Movement,379041,2006.0,203,eng,3.92,0,1,0,0,0,0,0,1,0
2570,The Case for Classical Christian Education,480245,2002.0,377,,4.01,0,0,0,0,0,0,0,1,0
2575,"War of Two: The Dark Mystery of the Duel Between Alexander Hamilton and Aaron Burr, and Its Legacy for America",25065625,2015.0,244,,3.97,0,0,0,0,0,0,1,0,0
2608,Alexander Hamilton: the Outsider,9417995,2011.0,366,,3.6,0,0,0,0,0,0,1,0,0
2626,Evidence Not Seen: A Woman's Miraculous Faith in the Jungles of World War II,213916,2003.0,3581,,4.51,0,0,0,0,0,0,1,0,0
2643,Anti-Judaism: The Western Tradition,13707536,2013.0,100,,4.3,0,0,0,0,0,0,1,0,1
2646,After You Believe: Why Christian Character Matters,7552428,,1563,,4.17,0,0,0,0,0,0,0,1,0
2661,The Personal MBA: A World-Class Business Education in a Single Volume,15929762,2012.0,139,eng,4.04,1,0,0,0,0,0,0,0,0
2719,"The Invisible Landscape: Mind, Hallucinogens & the I Ching",191375,1994.0,1030,en-US,3.98,0,0,0,0,0,0,1,1,0
2742,"Unfinished Business: Women, Men, Work, Family",25614228,2015.0,1695,,3.94,0,1,1,0,0,0,0,0,0
2763,Why?: What Makes Us Curious,32620361,2017.0,119,eng,3.37,0,0,0,0,0,0,1,1,0
2771,Kennedy,585957,1999.0,593,,4.12,0,1,0,0,0,0,1,0,0
2777,No Pretty Pictures: A Child of War,296468,2000.0,1288,,3.91,0,0,0,0,0,0,1,0,0
2801,MciIhenny's Gold,2034308,,128,,3.58,0,0,0,0,0,0,1,0,0
2810,On Immunity: An Inoculation,23263670,,276,,3.87,0,0,0,0,0,0,1,1,0
2815,Why We Get Sick: The New Science of Darwinian Medicine,81788,1996.0,2069,,4.1,0,0,0,0,0,0,1,0,0
2816,Denying the Holocaust: The Growing Assault on Truth and Memory,609316,1994.0,491,en-US,4.02,0,1,0,0,0,0,1,0,0
2819,Heinrich Himmler: The Sinister Life of the Head of the SS and Gestapo,609311,2007.0,231,,3.68,0,0,0,0,0,0,1,0,0
2823,I Am Malala,18276061,2013.0,416,eng,4.07,0,1,0,0,0,0,1,0,0
2833,Star Stuff: Carl Sagan and the Mysteries of the Cosmos,20518974,2014.0,1005,,4.12,0,0,0,0,0,0,1,0,0
2834,How to Be Alone,20518977,2014.0,743,eng,3.35,0,0,0,0,0,0,0,1,0
2835,"Spare Parts: Four Undocumented Teenagers, One Ugly Robot, and the Battle for the American Dream",20518979,2014.0,1090,eng,4.09,0,1,1,0,0,0,0,0,0
2862,The Black Nile: One Man's Amazing Journey Through Peace and War on the World's Longest River,7143956,2010.0,368,,3.34,0,1,0,0,0,0,1,0,0
2866,Catastrophe 1914: Europe Goes to War,17412744,2013.0,2424,en-US,4.04,0,0,0,0,0,0,1,0,0
2878,Journey of Awakening: A Meditator's Guidebook,29256,1990.0,740,en-US,4.14,0,0,0,0,0,0,0,1,0
2879,Paths to God: Living the Bhagavad Gita,29252,2005.0,446,en-US,4.3,0,0,0,0,0,0,0,1,0
2882,"To Hell on a Fast Horse: Billy the Kid, Pat Garrett, and the Epic Chase to Justice in the Old West",6909729,2010.0,667,,3.63,0,0,0,0,0,0,1,0,0
2884,A Lucky Child: A Memoir of Surviving Auschwitz as a Young Boy,8163833,2010.0,334,en-US,4.11,0,0,0,0,0,0,1,0,0
2885,Practicing Peace in Times of War,136981,2006.0,571,eng,4.38,0,0,0,0,0,0,0,1,0
2890,The Other,3670257,2008.0,492,,3.72,0,0,0,0,0,0,1,1,0
2918,Freakonomics: Rejuvenating the Self-Destructive Global Economy,816679,2006.0,196,,3.82,1,0,0,0,0,0,0,0,0
2920,The Seminar of Jacques Lacan: Freud's Papers on Technique,75490,1991.0,284,,4.15,0,0,0,0,0,0,0,1,1
2936,Lenin's Tomb: The Last Days of the Soviet Empire,113206,1994.0,2781,,4.18,0,1,0,0,0,0,1,0,0
2944,The Aquariums of Pyongyang: Ten Years in the North Korean Gulag,6569579,2005.0,250,eng,4.06,0,1,0,0,0,0,1,0,0
2954,The Forging of a Rebel,107640,2001.0,108,,4.41,0,0,0,0,0,0,1,0,0
2967,"The Yoga Sūtras of Patañjali: A New Edition, Translation, and Commentary",5318566,2009.0,184,eng,4.24,0,0,0,0,0,0,0,1,0
